Law Pinecone Indexing Report - Generated on 2025-03-25 09:13:05
FULL MODE
Total .json files processed: 4190
Successfully upserted: 4190
Failed to upsert: 0
All files upserted? YES
Total execution time: 3h 4m 3s

Time taken per file:
  - 118_455_C2025C00029VOL03_20250324_220001.json: 0.83 sec
  - 118_45_C2025C00029VOL03_20250324_220001.json: 0.89 sec
  - 118_500_C2025C00029VOL03_20250324_220001.json: 0.94 sec
  - 118_505_C2025C00029VOL03_20250324_220001.json: 0.84 sec
  - 118_510_C2025C00029VOL03_20250324_220001.json: 0.90 sec
  - 118_515_C2025C00029VOL03_20250324_220001.json: 0.90 sec
  - 118_520_C2025C00029VOL03_20250324_220001.json: 0.91 sec
  - 118_525_C2025C00029VOL03_20250324_220001.json: 0.88 sec
  - 118_550_C2025C00029VOL03_20250324_220001.json: 0.78 sec
  - 118_55_C2025C00029VOL03_20250324_220001.json: 1.03 sec
  - 118_560_C2025C00029VOL03_20250324_220001.json: 0.92 sec
  - 118_565_C2025C00029VOL03_20250324_220001.json: 0.96 sec
  - 118_570_C2025C00029VOL03_20250324_220001.json: 0.89 sec
  - 118_575_C2025C00029VOL03_20250324_220001.json: 0.77 sec
  - 118_580_C2025C00029VOL03_20250324_220001.json: 0.98 sec
  - 118_5_C2025C00029VOL03_20250324_220001.json: 0.83 sec
  - 118_60_C2025C00029VOL03_20250324_220001.json: 0.95 sec
  - 118_65_C2025C00029VOL03_20250324_220001.json: 0.90 sec
  - 118_70_C2025C00029VOL03_20250324_220001.json: 0.90 sec
  - 118_75_C2025C00029VOL03_20250324_220001.json: 0.95 sec
  - 118_77_C2025C00029VOL03_20250324_220001.json: 0.93 sec
  - 118_80_C2025C00029VOL03_20250324_220001.json: 0.88 sec
  - 118_85_C2025C00029VOL03_20250324_220001.json: 0.97 sec
  - 11_15_C2025C00029VOL01_20250324_203552.json: 0.72 sec
  - 11_1A_C2025C00029VOL01_20250324_203552.json: 0.75 sec
  - 11_1_C2025C00029VOL01_20250324_203552.json: 0.88 sec
  - 11_50_C2025C00029VOL01_20250324_203552.json: 0.88 sec
  - 11_55_C2025C00029VOL01_20250324_203552.json: 0.78 sec
  - 11_5_C2025C00029VOL01_20250324_203552.json: 0.86 sec
  - 121_20_C2025C00029VOL03_20250324_220001.json: 0.93 sec
  - 121_25_C2025C00029VOL03_20250324_220001.json: 1.03 sec
  - 121_30_C2025C00029VOL03_20250324_220001.json: 0.94 sec
  - 121_35_C2025C00029VOL03_20250324_220001.json: 0.87 sec
  - 122_120_C2025C00029VOL04_20250325_012100.json: 0.81 sec
  - 122_125_C2025C00029VOL04_20250325_012100.json: 0.97 sec
  - 122_130_C2025C00029VOL04_20250325_012100.json: 0.89 sec
  - 122_135_C2025C00029VOL04_20250325_012100.json: 1.09 sec
  - 122_140_C2025C00029VOL04_20250325_012100.json: 0.93 sec
  - 122_145_C2025C00029VOL04_20250325_012100.json: 1065.97 sec
  - 122_150_C2025C00029VOL04_20250325_012100.json: 1.69 sec
  - 122_155_C2025C00029VOL04_20250325_012100.json: 1.19 sec
  - 122_15_C2025C00029VOL04_20250325_012100.json: 0.81 sec
  - 122_160_C2025C00029VOL04_20250325_012100.json: 1.10 sec
  - 122_170_C2025C00029VOL04_20250325_012100.json: 1.38 sec
  - 122_175_C2025C00029VOL04_20250325_012100.json: 1.37 sec
  - 122_180_C2025C00029VOL04_20250325_012100.json: 0.81 sec
  - 122_185_C2025C00029VOL04_20250325_012100.json: 1.32 sec
  - 122_190_C2025C00029VOL04_20250325_012100.json: 0.87 sec
  - 122_195_C2025C00029VOL04_20250325_012100.json: 0.97 sec
  - 122_200_C2025C00029VOL04_20250325_012100.json: 1.37 sec
  - 122_205_C2025C00029VOL04_20250325_012100.json: 0.85 sec
  - 122_20_C2025C00029VOL04_20250325_012100.json: 1.13 sec
  - 122_25_C2025C00029VOL04_20250325_012100.json: 1.00 sec
  - 122_35_C2025C00029VOL04_20250325_012100.json: 1.17 sec
  - 122_37_C2025C00029VOL04_20250325_012100.json: 0.91 sec
  - 122_40_C2025C00029VOL04_20250325_012100.json: 1.16 sec
  - 122_45_C2025C00029VOL04_20250325_012100.json: 1.12 sec
  - 122_50_C2025C00029VOL04_20250325_012100.json: 1.09 sec
  - 122_55_C2025C00029VOL04_20250325_012100.json: 0.93 sec
  - 122_5_C2025C00029VOL04_20250325_012100.json: 0.78 sec
  - 122_60_C2025C00029VOL04_20250325_012100.json: 1.28 sec
  - 122_65_C2025C00029VOL04_20250325_012100.json: 0.87 sec
  - 122_70_C2025C00029VOL04_20250325_012100.json: 1.65 sec
  - 122_75_C2025C00029VOL04_20250325_012100.json: 1.11 sec
  - 124_1040_C2025C00029VOL04_20250325_012100.json: 0.96 sec
  - 124_1045_C2025C00029VOL04_20250325_012100.json: 0.91 sec
  - 124_1050_C2025C00029VOL04_20250325_012100.json: 0.83 sec
  - 124_1055_C2025C00029VOL04_20250325_012100.json: 1.21 sec
